Name,Profile URL,Role,Sweet Spot,Investors
John Merrells,file:///investors/john-merrells,Sweet spot:,$25K,Investors in Menlo Park (CA)
Elizabeth McCluskey,file:///investors/elizabeth-mccluskey,Principal,$250K,"Investors in Canada, Investors in United States"
Christopher Priebe,file:///investors/christopher-priebe,Partner,$1M,"Investors in Canada, Investors in Mexico (Mexico), Investors in Brazil, Investors in United States, Investors in Europe
+1"
Laurent Grill,file:///investors/laurent-grill,Partner,$200K,"Investors in Austin (TX), Investors in Seattle (WA), Investors in New York (NY), Investors in California"
Mateusz Kaliski,file:///investors/mateusz-kaliski,Associate,$250K,"Investors in AI, Investors in Analytics, Investors in E-commerce, Investors in Enterprise, Investors in Fintech, Investors in Gaming/eSports, Investors in Insurance, Investors in New York City (Other Lists), Investors in Real estate/proptech, Investors in SaaS
+6"
Omar El-Ayat,file:///investors/omar-el-ayat,Vice President,$4.0M,Investors in San Francisco (CA)
Ben Freeberg,file:///investors/ben-freeberg,Associate,$3.0M,"Investors in AI, Investors in AI, Investors in Analytics, Investors in Analytics, Investors in Cloud infrastructure, Investors in Cloud infrastructure, Investors in E-commerce, Investors in E-commerce, Investors in Enterprise, Investors in Enterprise, Investors in Food and beverage, Investors in Food and beverage, Investors in Health IT, Investors in Health IT, Investors in Marketplaces, Investors in Marketplaces, Investors in New York City (Other Lists), Investors in SaaS, Investors in SaaS, Investors in Social mobile, Investors in Social mobile
+17"
Juan Scarlett,file:///investors/juan-scarlett,Sweet spot:,$250K,"Investors in Salt Lake City (UT), Investors in Atlanta (GA), Investors in Phoenix (AZ), Investors in Denver (CO), Investors in San Francisco (CA), Investors in New York (NY), Investors in Austin (TX), Investors in Los Angeles (CA), Investors in Boston (MA), Investors in Washington (DC)
+7"
James Hottensen,file:///investors/james-hottensen,Associate,$100K,"Investors in New York (NY), Investors in San Francisco (CA), Investors in Boston / New England, Investors in Austin (TX), Investors in Los Angeles / Southern California
+2"
Gal Ringel,file:///investors/gal-ringel,Principal,$4.0M,"Investors in New York (NY), Investors in SF, Investors in Israel"
James Cham,file:///investors/james-cham,Partner,$1.2M,Investors in San Francisco (CA)
Chris Calder,file:///investors/chris-calder,Vice President,$2.0M,"Investors in California, Investors in Utah, Investors in Colorado, Investors in Los Angeles / Southern California, Investors in San Diego (CA), Investors in Salt Lake City (UT), Investors in Provo (UT), Investors in Denver (CO), Investors in Boulder (CO)
+6"
Shlomi Grandes .,file:///investors/shlomi-grandes,Partner,$500K,Investors in Tel Aviv (Israel)
Diego Gomes,file:///investors/diego-gomes_1,Partner,$100K,"Investors in Colombia, Investors in Mexico (Mexico), Investors in Brazil, Investors in United States"
Yann Ranchere,file:///investors/yann-ranchere,Partner,$2.0M,"Investors in Hong Kong, Investors in Singapore, Investors in Canada, Investors in United States, Investors in Europe
+1"
Connor Davidson,file:///investors/connor-davidson,Partner,$750K,"Investors in Charlotte (NC), Investors in Portland (OR), Investors in Dallas (TX), Investors in Atlanta (GA)
+1"
Kyle Kurpinski,file:///investors/kyle-kurpinski,Partner,$1M,Investors in Global
Anton Fedorov,file:///investors/anton-fedorov_1,Principal,$2.5M,Investors in Israel
Adi Levanon,file:///investors/adi-levanon,Principal,$3.0M,"Investors in Europe, Investors in Boston (MA), Investors in Los Angeles (CA), Investors in Israel, Investors in San Francisco (CA), Investors in New York (NY)
+2"
Matt Wyndowe,file:///investors/matt-wyndowe,Partner,$75K,Investors in New York (NY)
Aaron Michel,file:///investors/aaron-michel,Partner,$500K,Investors in United States
Adriel Bercow,file:///investors/adriel-bercow_1,Associate,$500K,"Investors in SF Bay Area (CA), Investors in Boston / New England, Investors in New York (NY)"
Francis Pollara,file:///investors/francis-pollara,Venture Partner,$150K,Investors in California
Sergio A. Escobar,file:///investors/sergio-a-escobar,Partner,$100K,"Investors in London, Investors in Paris (France), Investors in Israel, Investors in Canada, Investors in United States
+1"
Oscar Ramos,file:///investors/oscar-ramos,Partner,$100K,Investors in Earth
Paul Meier,file:///investors/paul-meier,Principal,$2.0M,"Investors in London, Investors in Chattanooga (TN), Investors in Pittsburgh (PA), Investors in Salt Lake City (UT), Investors in Denver (CO), Investors in Boulder (CO), Investors in Bozeman (MT), Investors in San Diego (CA), Investors in Phoenix (AZ), Investors in Los Angeles (CA), Investors in New York (NY), Investors in St. Louis (MO), Investors in Louisville/Jefferson County (KY), Investors in Lexington-Fayette (KY), Investors in Fayetteville (AR), Investors in Washington (DC), Investors in Durham (NC), Investors in Charlotte (NC), Investors in Tampa (FL), Investors in Madison (WI), Investors in Milwaukee (WI), Investors in Cincinnati (OH), Investors in Cleveland (OH), Investors in Columbus (OH), Investors in St. Paul (MN), Investors in Minneapolis (MN), Investors in Grand Rapids (MI), Investors in Detroit (MI), Investors in Ann Arbor (MI), Investors in Indianapolis (IN), Investors in Omaha (NE), Investors in Lincoln (NE), Investors in Kansas City (MO), Investors in Kansas City (KS), Investors in Philadelphia (PA), Investors in Toronto (Ontario), Investors in Global, Investors in Pennsylvania, Investors in Kansas, Investors in Missouri, Investors in Nebraska, Investors in Indiana, Investors in Michigan, Investors in Kentucky, Investors in Illinois, Investors in Minnesota, Investors in Iowa, Investors in Ohio, Investors in Wisconsin, Investors in Florida, Investors in North Carolina, Investors in Virginia, Investors in Atlanta (GA), Investors in Texas, Investors in Midwest
+52"
Ivan Nikkhoo,file:///investors/ivan-nikkhoo,Managing Partner,$1M,"Investors in Israel, Investors in Raleigh-Durham / Southeast US, Investors in Europe, Investors in Canada, Investors in Taiwan, Investors in Utah, Investors in Colorado, Investors in California, Investors in Texas, Investors in New York (NY), Investors in Austin (TX), Investors in Los Angeles (CA)
+9"
Raoul Maier,file:///investors/raoul-maier_1,Managing Partner,$100K,Investors in SF Bay Area (CA)
Austin Smith,file:///investors/austin-smith,Managing Partner,$38K,"Investors in Los Angeles / Southern California, Investors in Los Angeles (CA), Investors in SF Bay Area (CA)
+1"
Turner Novak,file:///investors/turner-novak,General Partner,$100K,"Investors in Ann Arbor (MI), Investors in New York (NY), Investors in SF Bay Area (CA), Investors in Los Angeles (CA)
+1"
Justin Smith,file:///investors/justin-smith_1,Managing Partner,$150K,"Investors in Denver (CO), Investors in San Francisco (CA), Investors in Los Angeles (CA), Investors in Toronto (Ontario), Investors in Austin (TX), Investors in New York (NY)
+3"
Romain Vidal,file:///investors/romain-vidal,Managing Partner,$2.0M,"Investors in Montreal, Investors in Paris (France)"
Chris Furmanski,file:///investors/chris-furmanski,Managing Director,$250K,Investors in Menlo Park (CA)
Jarrid Tingle,file:///investors/jarrid-tingle,Managing Partner,$1M,Investors in New York (NY)
Maria Cirino,file:///investors/maria-cirino,Managing Partner,$2.0M,Investors in Boston (MA)
john choi,file:///investors/john-choi,Managing Partner,$50K,"Investors in Chicago (IL), Investors in Lancaster (PA), Investors in Detroit (MI), Investors in Kansas City (MO), Investors in Columbus (OH), Investors in Minneapolis (MN), Investors in Salt Lake City (UT), Investors in Seattle (WA)
+5"
Jordi Vinas,file:///investors/jordi-vinas,General Partner,$500K,"Investors in Media/content, Investors in SaaS, Investors in Social mobile"
Joe Kennedy,file:///investors/joe-kennedy,Managing Partner,$400K,Investors in San Francisco (CA)
Olivier Schuepbach,file:///investors/olivier-schuepbach,General Partner,$200K,"Investors in Germany, Investors in Berlin"
Ronny Conway,file:///investors/ronny-conway,General Partner,$1.5M,Investors in Menlo Park (CA)
Philippe Collombel,file:///investors/philippe-collombel,Managing Partner,$200K,Investors in Paris (France)
Prem Bodagala,file:///investors/prem-bodagala,Managing Director,$150K,"Investors in East Lansing (MI), Investors in Michigan"
Yan-David Erlich,file:///investors/yan-david-erlich,Managing Partner,$200K,"Investors in Europe, Investors in Tel Aviv (Israel), Investors in New York (NY), Investors in San Francisco (CA)
+1"
Yeor Asor,file:///investors/yeor-asor,General Partner,$250K,Investors in Israel
Herman Kienhuis,file:///investors/herman-kienhuis,Managing Partner,$200K,"Investors in Eindhoven (Netherlands), Investors in Amsterdam, Investors in Europe, Investors in Belgium, Investors in Germany
+2"
Marcin Zabielski,file:///investors/marcin-zabielski,Managing Partner,$600K,Investors in Europe
Oz Eliav,file:///investors/oz-eliav,Managing Director,$300K,"Investors in Advertising, Investors in AgTech, Investors in IoT, Investors in Payments, Investors in SaaS, Investors in Security, Investors in Space, Investors in Travel
+4"
Patri Friedman,file:///investors/patri-friedman,General Partner,$750K,Investors in SF Bay Area (CA)
Gene Wong,file:///investors/gene-wong,Managing Partner,$875K,"Investors in SF Bay Area (CA), Investors in Nevada, Investors in Reno (NV)"
John Cowgill,file:///investors/john-cowgill,Principal,$3.0M,"Investors in Illinois, Investors in Ohio, Investors in Kentucky, Investors in Chicago (IL), Investors in Austin (TX), Investors in Denver (CO), Investors in Boulder (CO), Investors in Zurich, Investors in New York (NY), Investors in Toronto (Ontario), Investors in San Francisco (CA)
+7"
Harpaul Sambhi,file:///investors/harpaul-sambhi,Sweet spot:,$25K,"Investors in Ottawa, Investors in Montreal, Investors in Canada, Investors in San Francisco (CA), Investors in SF Bay Area (CA), Investors in Toronto (Ontario)
+2"
Shirley Schoenfeld,file:///investors/shirley-schoenfeld,Principal,$3.0M,"Investors in Europe, Investors in Israel"
Kobie Fuller,file:///investors/kobie-fuller_1,Partner,$4.0M,Investors in Santa Monica (CA)
James Kim,file:///investors/james-kim,Principal,$1.5M,Investors in United States
Michael Carney,file:///investors/michael-carney_1,Senior Associate,$3.0M,"Investors in Los Angeles (CA), Investors in San Diego (CA), Investors in San Francisco (CA), Investors in Seattle (WA), Investors in Chicago (IL), Investors in New York (NY), Investors in Boston (MA), Investors in Washington (DC), Investors in Austin (TX), Investors in Boulder (CO), Investors in Denver (CO), Investors in Santa Barbara (CA)
+9"
Antonio Osio,file:///investors/antonio-osio,Partner,$1M,"Investors in New York (NY), Investors in San Francisco (CA), Investors in Miami (FL)"
Geri Kirilova,file:///investors/geri-kirilova_1,Principal,$750K,"Investors in Washington (DC), Investors in Boston (MA), Investors in New York"
David Li,file:///investors/david-li,Principal,$2.5M,Investors in United States
James Hill,file:///investors/james-hill,Vice President,$3.0M,"Investors in Enterprise, Investors in Enterprise, Investors in Fintech, Investors in Fintech, Investors in Health IT, Investors in Health IT, Investors in Marketing automation, Investors in Marketing automation, Investors in Midwest (Other Lists), Investors in Payments, Investors in Payments, Investors in SaaS, Investors in SaaS, Investors in Sales and CRM, Investors in Sales and CRM
+11"
Thomas Petersen,file:///investors/thomas-petersen,Venture Partner,$50K,Investors in Global
Tak Miyata,file:///investors/tak-miyata,Partner,$250K,Investors in San Francisco (CA)
Mike Hirshland,file:///investors/mike-hirshland,Partner,$750K,"Investors in Boston (MA), Investors in New York (NY), Investors in San Francisco (CA)"
Steve Schlafman,file:///investors/steve-schlafman,Venture Partner,$1.5M,Investors in New York (NY)
Matthew Lydecker,file:///investors/matthew-lydecker,Partner,$250K,Investors in Santa Monica (CA)
Chris Rogers,file:///investors/chris-rogers,Partner,$150K,Investors in San Francisco (CA)
Parker Thompson,file:///investors/parker-thompson,Sweet spot:,$200K,Investors in San Francisco (CA)
Richard Parsons,file:///investors/richard-parsons,Partner,$250K,Investors in New York (NY)
Alex Purtell,file:///investors/alex-purtell,Partner,$100K,"Investors in AI, Investors in Blockchain, Investors in E-commerce, Investors in Enterprise, Investors in Fintech, Investors in Insurance, Investors in Payments, Investors in Retail, Investors in SaaS, Investors in SMB software
+6"
Yigit Ihlamur,file:///investors/yigit-ihlamur,Partner,$500K,Investors in SF Bay Area (CA)
Jim Feuille,file:///investors/jim-feuille,Partner,$4.0M,Investors in SF Bay Area (CA)
Shawn Xu,file:///investors/shawn-xu_2,Senior Associate,$1M,Investors in SF Bay Area (CA)
Natasha Sharma,file:///investors/natasha-sharma,Senior Associate,$2.0M,Investors in SF Bay Area (CA)
Hiro Tien,file:///investors/hiro-tien,Investor,$100K,Investors in SF Bay Area (CA)
Lauren Krainski,file:///investors/lauren-krainski,Partner,$150K,"Investors in AI, Investors in Analytics, Investors in Data services, Investors in Developer tools, Investors in Enterprise, Investors in Logistics, Investors in Manufacturing, Investors in Media/content, Investors in Real estate/proptech, Investors in SaaS, Investors in Seattle / Portland (Other Lists)
+7"
Chris Howard,file:///investors/chris-howard,Partner,$500K,Investors in San Francisco (CA)
Jennifer Savage,file:///investors/jennifer-savage,Partner,$750K,"Investors in AI, Investors in Analytics, Investors in AR/VR, Investors in Blockchain, Investors in Distributed workforce, Investors in Enterprise, Investors in Human capital, Investors in Marketing automation, Investors in SaaS, Investors in Sales and CRM, Investors in Seattle / Portland (Other Lists)
+7"
David Fogel,file:///investors/david-fogel_1,Investor,$3.0M,Investors in London
Craig Burel,file:///investors/craig-burel,Partner,$1M,"Investors in Canada, Investors in United States"
Greg Beaufait,file:///investors/greg-beaufait,Partner,$500K,Investors in Midwest
rodney sampson,file:///investors/rodney-sampson,Partner,$250K,Investors in Atlanta (GA)
Kelly Klein,file:///investors/kelly-klein,Principal,$2.0M,Investors in Israel
Alexandra Choli,file:///investors/alexandra-choli,Partner,$400K,"Investors in United States, Investors in Europe"
John Henry,file:///investors/john-henry,Venture Partner,$1M,Investors in New York (NY)
John Mayfield,file:///investors/john-mayfield,Principal,$500K,"Investors in Washington, Investors in Oregon, Investors in California, Investors in Seattle (WA), Investors in Portland (OR), Investors in Los Angeles (CA), Investors in Utah, Investors in Salt Lake City (UT), Investors in Provo (UT), Investors in Boulder (CO), Investors in Denver (CO), Investors in Phoenix (AZ), Investors in Mesa (AZ), Investors in Arizona, Investors in Colorado
+11"
Ammar Hanafi,file:///investors/ammar-hanafi,Partner,$700K,Investors in San Francisco (CA)
Lenny Rachitsky,file:///investors/lenny-rachitsky,Sweet spot:,$25K,Investors in SF Bay Area (CA)
Joe Bond,file:///investors/joe-bond,Principal,$1M,Investors in Europe
Brandon Bryant,file:///investors/brandon-bryant,Venture Partner,$1M,Investors in New York (NY)
Eric Ramos,file:///investors/eric-ramos,Principal,$500K,"Investors in United States, Investors in Florida"
Josh Cohen,file:///investors/josh-cohen,Principal,$3.0M,"Investors in Pittsburgh (PA), Investors in Chicago (IL), Investors in Los Angeles (CA), Investors in San Francisco (CA), Investors in Boston (MA)
+2"
Ben Levy,file:///investors/ben-levy,Investor,$500K,Investors in San Francisco (CA)
Ryan Hoover,file:///investors/ryan-hoover,Investor,$150K,"Investors in Chicago (IL), Investors in Los Angeles (CA), Investors in New York (NY), Investors in SF Bay Area (CA)
+1"
Bedy Yang,file:///investors/bedy-yang,Managing Partner,$250K,Investors in Brazil
Kevin Moore,file:///investors/kevin-moore,Angel,$100K,"Investors in Canada, Investors in Seattle / Portland, Investors in Colorado, Investors in Austin (TX), Investors in Boston / New England, Investors in Chicago (IL), Investors in New York, Investors in Utah, Investors in California
+5"
Tetsuro Miyatake,file:///investors/tetsuro-miyatake,Investor,$1M,"Investors in Tokyo, Investors in New York (NY), Investors in San Francisco (CA), Investors in Los Angeles (CA), Investors in Hong Kong
+2"
Kyrill Zlobenko,file:///investors/kyrill-zlobenko,Investor,$1.5M,"Investors in Europe, Investors in London"
Katelyn Donnelly,file:///investors/katelyn-donnelly,Sweet spot:,$10K,"Investors in New York (NY), Investors in San Francisco (CA)"
Kirill Tasilov,file:///investors/kirill-tashilov,Investor,$4.0M,"Investors in Europe, Investors in Israel, Investors in United States"
Peter Marsh,file:///investors/peter-marsh,Managing Partner,$50K,"Investors in Winston-Salem (NC), Investors in North Carolina"
John O'Brien,file:///investors/john-o-brien_1,Managing Partner,$25K,"Investors in San Francisco (CA), Investors in Richmond (VA), Investors in Los Angeles (CA)"
Oksana Malysheva,file:///investors/oksana-malysheva,Managing Partner,$100K,Investors in Austin (TX)
Carlos Nasillo,file:///investors/carlos-nasillo_1,Investor,$750K,"Investors in San Francisco (CA), Investors in Warsaw, Investors in Tel Aviv (Israel), Investors in Berlin, Investors in London
+2"
Stephan Morais,file:///investors/stephan-morais_1,Managing Partner,$2.5M,"Investors in AI, Investors in Blockchain, Investors in E-commerce, Investors in Fintech, Investors in IoT, Investors in Marketplaces, Investors in SaaS
+2"
Moshe Bellows,file:///investors/moshe-bellows,Managing Partner,$100K,"Investors in Israel, Investors in United States"
Sriram Gollapalli,file:///investors/sriram-gollapalli,Managing Director,$20K,"Investors in Angel, Scout, and Solo-Capitalists (Other Lists), Investors in Boston / New England (Other Lists), Investors in Cloud infrastructure, Investors in Data services, Investors in Developer tools, Investors in Diverse Investors (Other Lists), Investors in E-commerce, Investors in Fintech, Investors in IoT, Investors in SaaS, Investors in Sales and CRM, Investors in Social commerce, Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists), Investors in Investors who were founders (Other Lists)
+14"
Mitch Patridge,file:///investors/mitch-patridge,Managing Partner,$2.0M,"Investors in Los Angeles / Southern California, Investors in San Diego (CA)"
Kollyn Kanz,file:///investors/kollyn-kanz,Managing Partner,$100K,"Investors in Santa Monica (CA), Investors in Dallas (TX)"
Neil Kadisha,file:///investors/neil-kadisha,Managing Partner,$3.0M,"Investors in Israel, Investors in United States, Investors in Los Angeles / Southern California, Investors in Los Angeles (CA)
+1"
Eran Savir,file:///investors/eran-savir,Managing Director,$500K,Investors in Israel
Eran Gilad,file:///investors/eran-gilad_1,Managing Partner,$500K,"Investors in Israel, Investors in United States, Investors in Los Angeles / Southern California, Investors in Los Angeles (CA)
+1"
Jason DeStigter,file:///investors/jason-destigter,Managing Partner,$300K,Investors in Des Moines (IA)
Daniel Karp,file:///investors/daniel-karp,Managing Partner,$3,"Investors in Colombia, Investors in Mexico, Investors in Argentina, Investors in Brazil, Investors in Buenos Aires, Investors in Mexico (Mexico), Investors in Sao Paulo, Investors in Israel
+4"
Abhishek Prasad,file:///investors/abhishek-prasad,Managing Partner,$1M,Investors in New York (NY)
John Burns,file:///investors/john-burns,Managing Director,$200K,Investors in Maine
Carine Magescas,file:///investors/carine-magescas,Managing Partner,$100K,Investors in San Francisco (CA)
Todor Tashev,file:///investors/todor-tashev,Managing Partner,$2.5M,Investors in Redwood City (CA)
Deepak Gupta,file:///investors/deepak-gupta_2,Managing Partner,$100K,Investors in SF Bay Area (CA)
Amit Shafrir,file:///investors/amit-shafrir,Angel,$25K,"Investors in Washington (DC), Investors in Israel, Investors in Tel Aviv (Israel), Investors in SF Bay Area (CA), Investors in New York (NY), Investors in Berlin, Investors in Paris (France), Investors in London, Investors in Moscow
+6"
Ronen Nir,file:///investors/ronen-nir,General Partner,$3.0M,Investors in Israel
Jeremy Glassenberg,file:///investors/jeremy-glassenberg,Sweet spot:,$10K,"Investors in AI, Investors in Developer tools, Investors in Enterprise, Investors in Fintech, Investors in Marketplaces, Investors in Payments, Investors in SaaS, Investors in Sales and CRM, Investors in San Francisco Bay Area (Other Lists), Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists), Investors in Investors who were founders (Other Lists)
+8"
Marc Phillips,file:///investors/marc-phillips,Managing Partner,$400K,Investors in San Francisco (CA)
Fred Destin,file:///investors/fred-destin,Investor,$2.0M,"Investors in Paris (France), Investors in London"
Thomas Sparico,file:///investors/thomas-sparico,Managing Partner,$250K,"Investors in Connecticut, Investors in New York (NY)"
Joe Merrill,file:///investors/joe-merrill,General Partner,$100K,Investors in Austin (TX)
Douglass Ellenoff,file:///investors/douglass-ellenoff,General Partner,$140K,Investors in New York (NY)
Lauren DeLuca,file:///investors/lauren-deluca,General Partner,$500K,"Investors in Vancouver (BC), Investors in Montreal, Investors in New York City, Investors in SF Bay Area (CA), Investors in Los Angeles / Southern California, Investors in Austin (TX), Investors in Toronto (Ontario), Investors in Midwest
+5"
Natty Zola,file:///investors/natty-zola,General Partner,$500K,"Investors in Chicago (IL), Investors in Ann Arbor (MI), Investors in St. Paul (MN), Investors in Detroit (MI), Investors in Milwaukee (WI), Investors in Madison (WI), Investors in Indianapolis (IN), Investors in Minneapolis (MN), Investors in Provo (UT), Investors in Salt Lake City (UT), Investors in Denver (CO), Investors in Boulder (CO)
+8"
Kevin Siskar,file:///investors/kevin-siskar,Angel,$25K,"Investors in Buffalo (NY), Investors in New York (NY), Investors in San Jose (CA), Investors in San Francisco (CA), Investors in Palo Alto (CA)
+2"
Ash Archibald,file:///investors/ashley-archibald,Angel,$75K,"Investors in United States, Investors in Moscow, Investors in Brazil, Investors in New York (NY), Investors in Los Angeles / Southern California, Investors in SF Bay Area (CA)
+2"
Gary Sheynkman,file:///investors/gary-sheynkman,Investor,$150K,"Investors in Montreal, Investors in San Francisco (CA), Investors in Dubai, Investors in London, Investors in Tallinn, Investors in New York (NY)
+2"
Evan Zimmerman,file:///investors/evan-zimmerman,Investor,$100K,"Investors in Tel Aviv (Israel), Investors in Los Angeles (CA), Investors in San Francisco (CA), Investors in New York (NY), Investors in Boston (MA)
+2"
Chris Schultz,file:///investors/chris-schultz,Angel,$25K,"Investors in SF Bay Area (CA), Investors in Global, Investors in New Orleans (LA)"
Blake Koriath,file:///investors/blake-koriath,Investor,$2.0M,"Investors in Canada, Investors in United States"
Lucas Bagno,file:///investors/lucas-bagno,Investor,$250K,Investors in SF Bay Area (CA)
Kevin Kaplan,file:///investors/kevin-kaplan,Angel,$5K,Investors in Austin (TX)
Luke Thompson,file:///investors/luke-thompson,Investor,$250K,"Investors in Consumer health & fitness, Investors in Distributed workforce, Investors in Diverse Investors (Other Lists), Investors in E-commerce, Investors in Fintech, Investors in Gaming/eSports, Investors in Insurance, Investors in Marketplaces, Investors in SaaS, Investors in San Francisco Bay Area (Other Lists), Investors in SMB software, Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists)
+11"
Travis Connelly,file:///investors/travis-connelly,Venture Partner,$20K,"Investors in Clean tech / environment, Investors in Diverse Investors (Other Lists), Investors in Enterprise, Investors in Food and beverage, Investors in IoT, Investors in Local commerce, Investors in Lodging/hospitality, Investors in Raleigh-Durham / Southeast US (Other Lists), Investors in Real estate/proptech, Investors in Retail, Investors in SaaS, Investors in SMB software, Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists), Investors in Investors who were founders (Other Lists)
+13"
Lia Cromwell,file:///investors/lia-cromwell,Principal,$500K,Investors in Israel
Jan Miczaika,file:///investors/jan-miczaika,Partner,$2.0M,"Investors in Blockchain, Investors in Enterprise, Investors in SaaS, Investors in SMB software"
Allison Barr Allen,file:///investors/allison-barr-allen,Sweet spot:,$25K,Investors in SF Bay Area (CA)
Jorge Garate,file:///investors/jorge-garate_1,Partner,$500K,"Investors in Europe, Investors in Israel, Investors in United States"
Ron Moritz,file:///investors/ron-moritz,Venture Partner,$2.0M,"Investors in Israel, Investors in Global"
Chris Cowart,file:///investors/chris-cowart,Venture Partner,$1.5M,Investors in San Francisco (CA)
Alexander Zhuravlev,file:///investors/alexander-zhuravlev,Principal,$500K,"Investors in Moscow, Investors in Tel Aviv (Israel), Investors in San Francisco (CA)"
Caro Acevedo,file:///investors/caro-acevedo,Partner,$1M,"Investors in New York (NY), Investors in San Francisco (CA), Investors in Miami (FL)"
Thomas Schranz,file:///investors/thomas-schranz,Partner,$50K,"Investors in Emeryville (CA), Investors in Toronto (Ontario), Investors in Seattle (WA), Investors in New York City, Investors in Vienna, Investors in Berlin, Investors in London, Investors in San Francisco (CA)
+5"
Florin Mihoc,file:///investors/florin-mihoc,Venture Partner,$700K,Investors in New York (NY)
Beth Engel,file:///investors/beth-engel,Partner,$500K,Investors in Omaha (NE)
Anvesh Rai,file:///investors/anvesh-rai,Principal,$3.0M,"Investors in Europe, Investors in Israel, Investors in United States, Investors in Canada"
Doug Camplejohn,file:///investors/doug-camplejohn,Sweet spot:,$75K,"Investors in Consumer health & fitness, Investors in Enterprise, Investors in SaaS, Investors in Sales and CRM, Investors in San Francisco Bay Area (Other Lists)
+2"
Lindsay Karas,file:///investors/lindsay-karas,Partner,$250K,Investors in Columbus (OH)
Sukaina Alarakhia,file:///investors/sukaina-alarakhia,Venture Partner,$500K,"Investors in AI, Investors in Analytics, Investors in AR/VR, Investors in Biotech, Investors in Health IT, Investors in IoT, Investors in Los Angeles / Southern California (Other Lists), Investors in Medical devices, Investors in Pharmaceuticals, Investors in Robotics, Investors in SaaS
+6"
Robb Kunz,file:///investors/robb-kunz,Angel,$200K,Investors in Salt Lake City (UT)
Anna Grigoryeva,file:///investors/anna-grigoryeva,Investor,$1M,Investors in Europe
Khailee Ng,file:///investors/khailee-ng,Managing Partner,$250K,Investors in Mountain View (CA)
Juan Garay,file:///investors/juan-garay,Investor,$500K,"Investors in Palo Alto (CA), Investors in Tel Aviv (Israel)"
Chang Xu,file:///investors/chang-xu,Associate,$3.5M,"Investors in Santa Monica (CA), Investors in Los Angeles (CA), Investors in Los Angeles / Southern California, Investors in SF Bay Area (CA), Investors in Boston (MA), Investors in New York (NY), Investors in Seattle (WA), Investors in Washington (DC), Investors in Austin (TX)
+7"
Matthias Tepel,file:///investors/matthias-tepel,Investor,$2.0M,"Investors in Canada, Investors in United States"
Marco A. Casas,file:///investors/marco-casas,Investor,$250K,"Investors in Global, Investors in United States"
Samir Chaibi,file:///investors/samir-chaibi,Investor,$1M,"Investors in Indonesia, Investors in Singapore"
Jiazi Guo,file:///investors/jiazi-guo_1,Investor,$500K,"Investors in China, Investors in United States"
Matthew Stotts,file:///investors/matthew-stotts,Sweet spot:,$25K,"Investors in San Francisco (CA), Investors in Santa Barbara (CA), Investors in Los Angeles (CA), Investors in Santa Monica (CA), Investors in Portland (OR)
+2"
Ben Werdmuller,file:///investors/ben-werdmuller_1,Investor,$50K,Investors in SF Bay Area (CA)
Rahul Vohra,file:///investors/rahul-vohra,Angel,$175K,Investors in SF Bay Area (CA)
Hailey Hu,file:///investors/hailey-hu,Investor,$20,"Investors in Distributed workforce, Investors in Enterprise, Investors in Health & hospital services, Investors in Marketing automation, Investors in Marketplaces, Investors in Retail, Investors in SaaS, Investors in San Francisco Bay Area (Other Lists), Investors in Travel
+6"
Joseph Chittenden-Veal,file:///investors/joseph-chittenden-veal,Investor,$4.0M,Investors in Global
Nanxi Liu,file:///investors/nanxi-liu,Investor,$150K,Investors in Los Angeles (CA)
Ahmed Hentati,file:///investors/ahmed-hentati,Investor,$200K,"Investors in Boston (MA), Investors in Chicago (IL), Investors in San Francisco (CA), Investors in San Jose (CA), Investors in New York City, Investors in New York (NY)
+3"
Amy Nelson,file:///investors/amy-nelson,Investor,$250K,Investors in Seattle (WA)
Erica Brescia,file:///investors/erica-brescia_1,Investor,$250K,Investors in San Francisco (CA)
Jude Gomila,file:///investors/jude-gomila,Angel,$200K,"Investors in SF Bay Area (CA), Investors in San Francisco (CA)"
Brett Bivens,file:///investors/brett-bivens,Investor,$250K,"Investors in Europe, Investors in United States"
Lucas Fernandez,file:///investors/lucas-fernandez,Investor,$250K,Investors in San Diego (CA)
Pankaj Jain,file:///investors/pankaj-jain,Sweet spot:,$5K,"Investors in New York (NY), Investors in Bangalore, Investors in SF Bay Area (CA)"
Arun Penmetsa,file:///investors/arun-penmetsa,Partner,$3.0M,Investors in Global
Nicky Kamra,file:///investors/nicky-kamra,Principal,$750K,Investors in SF Bay Area (CA)
Varsha Rao,file:///investors/varsha-rao,Sweet spot:,$100K,"Investors in Los Angeles (CA), Investors in Bangalore, Investors in SF Bay Area (CA)"
Annelies Gamble,file:///investors/annelies-gamble,Partner,$375K,Investors in SF Bay Area (CA)
Chris Sims,file:///investors/chris-sims,Partner,$346K,"Investors in Springfield (MA), Investors in New York (NY), Investors in Boston / New England, Investors in Boston (MA)
+1"
